,Unnamed: 0,loss,accuracy,accuracy_no_oov,accuracy_no_oov_no_eos,train_time(s),model_params,weights_size(mb)
0,small_random,3.3197,0.2246,0.2198,0.1821,54860.3642,2402072.0,9.6296
1,small_glove,3.2884,0.2269,0.2221,0.1838,56958.2619,2402072.0,9.6296
2,small_pca_fasttext,3.3,0.225,0.2204,0.1823,55436.7934,2402072.0,9.6296
3,small_pp_pca_pp_fasttext,3.2583,0.2285,0.2235,0.1852,56204.1293,2402072.0,9.6296
4,small_pca_gpt2,3.2675,0.2293,0.2245,0.1859,54927.3346,2402072.0,9.6296
5,small_pp_pca_pp_gpt2,3.3365,0.2262,0.2212,0.1834,56935.8403,2402072.0,9.6296
6,large_random,3.2035,0.2485,0.2448,0.2086,54922.9815,7831328.0,31.3458
7,large_glove,3.1272,0.2557,0.2523,0.2162,58655.0111,7831328.0,31.3458
8,large_fasttext,3.0977,0.2548,0.25,0.2137,55972.4481,7831328.0,31.3458
9,large_pca_gpt2,3.1416,0.2522,0.2483,0.2118,56168.9784,7831328.0,31.3458
10,large_pp_pca_pp_gpt2,3.1255,0.2569,0.2524,0.2169,58864.5728,7831328.0,31.3458
